"date","close","volume","open","high","low"
"2018/09/19","164.6000","1636341.0000","164.0000","166.5000","161.5150"
"2018/09/18","162.2800","1705717.0000","154.5000","164.2000","154.5000"
"2018/09/17","153.6300","1653610.0000","157.9200","159.4300","153.4500"
"2018/09/14","154.7700","1247030.0000","156.9900","158.8950","153.5634"
"2018/09/13","155.5000","1259666.0000","154.0000","158.5000","153.9500"
"2018/09/12","153.1300","1710347.0000","147.7600","153.7700","146.2200"
"2018/09/11","147.7600","1321019.0000","141.5000","148.0300","140.3910"
"2018/09/10","142.1300","1061917.0000","141.3400","142.5500","139.0500"
"2018/09/07","140.6400","2038578.0000","131.2700","141.1800","130.6000"
"2018/09/06","134.1300","1825095.0000","139.7100","140.4550","132.3500"
"2018/09/05","139.9700","2362389.0000","143.6700","144.1250","136.5000"
"2018/09/04","146.3400","909294.0000","146.1000","146.9300","143.6100"
"2018/08/31","145.6700","668838.0000","143.8900","146.2600","143.3900"
"2018/08/30","144.8100","811912.0000","144.6000","146.4840","143.2810"
"2018/08/29","145.1500","953254.0000","145.3900","146.5000","143.7700"
"2018/08/28","145.0000","1289253.0000","145.6000","146.0500","142.7500"
"2018/08/27","144.0400","1386116.0000","141.8500","144.7500","139.0000"
"2018/08/24","140.5800","1213125.0000","139.6000","141.5000","138.4710"
"2018/08/23","137.4900","1041722.0000","138.0400","140.9100","137.0500"
"2018/08/22","137.6300","1264730.0000","132.3400","138.5000","132.3400"
"2018/08/21","133.4400","1419624.0000","135.1200","137.7800","133.2601"
"2018/08/20","135.9700","1516651.0000","138.0000","138.3338","132.8500"
"2018/08/17","137.1900","1258148.0000","138.9200","140.2400","135.7900"
"2018/08/16","139.1600","920640.0000","140.7800","142.1100","138.8495"
"2018/08/15","138.9200","1817246.0000","142.5800","144.5600","137.1100"
"2018/08/14","144.3800","1227988.0000","144.2000","145.7400","141.5500"
"2018/08/13","142.8700","1283201.0000","149.3500","151.0100","142.4100"
"2018/08/10","149.2200","1322475.0000","145.0900","151.1800","144.1500"
"2018/08/09","146.4400","874648.0000","142.2100","147.1400","142.2000"
"2018/08/08","142.7000","821556.0000","142.6700","144.1400","140.8500"
"2018/08/07","141.6800","1012266.0000","143.1500","146.6390","141.1700"
"2018/08/06","142.0400","1196248.0000","141.9100","142.4100","138.0000"
"2018/08/03","141.8700","1616622.0000","145.0000","145.4700","140.8300"
"2018/08/02","143.9200","2722414.0000","134.5800","144.2100","132.6300"
"2018/08/01","136.3600","2404172.0000","138.6800","140.2190","134.8901"
"2018/07/31","138.2100","7912630.0000","138.5200","143.7700","133.2605"
"2018/07/30","148.0800","2737833.0000","159.8000","160.4300","147.3300"
"2018/07/27","160.1500","2105629.0000","172.3500","172.3500","159.2600"
"2018/07/26","170.2900","1157562.0000","169.3300","172.2400","168.6500"
"2018/07/25","173.7800","1264855.0000","167.9100","174.0300","165.5700"
"2018/07/24","168.3400","1537392.0000","174.8400","176.5990","166.6300"
"2018/07/23","173.2600","837686.0000","171.9500","174.1317","169.0000"
"2018/07/20","171.7500","1280489.0000","172.0000","175.2900","171.3000"
"2018/07/19","171.7500","829030.0000","170.0000","172.0995","168.1800"
"2018/07/18","170.4800","850941.0000","169.2500","171.4800","167.0310"
"2018/07/17","169.0000","1199232.0000","161.7100","170.3000","161.0500"
"2018/07/16","165.3500","1259330.0000","166.1300","169.4000","164.8000"
"2018/07/13","166.1800","877186.0000","167.7200","168.1148","163.7400"
"2018/07/12","167.5000","995636.0000","162.5800","168.2000","162.1101"
"2018/07/11","160.9800","745031.0000","157.4800","161.9700","156.2700"
"2018/07/10","158.9800","775480.0000","158.6200","160.3652","157.8100"
"2018/07/09","158.4500","996627.0000","158.7900","160.4000","154.2400"
"2018/07/06","156.8100","1075499.0000","152.9100","157.3400","152.0000"
"2018/07/05","152.6800","914637.0000","153.1500","153.7700","149.9600"
"2018/07/03","150.5000","1060821.0000","149.1785","151.9500","147.2541"
"2018/07/02","149.4200","878516.0000","142.7100","149.5700","141.3700"
"2018/06/29","145.8900","1203241.0000","147.8200","149.9480","145.3500"
